ID;OBSERVACIONES;SEMANA;FECHA;PUNTO DE OBSERVACION;NOMBRE COMUN;NOMBRE CIENTIFICO;DENTRO DEL RADIO;FUERA DEL RADIO;NUMERO DE AVISTAMIENTO
1;11A01;1;3/5/2023;1A01;Hook-billed Kite;Chondrohierax uncinatus;2;1;3
2;11A01;1;3/5/2023;1A01;Lesser Nighthawk;Chordeiles acutipennis;2;0;2
3;11A01;1;3/5/2023;1A01;Rufous-headed Chachalaca;Ortalis erythroptera;2;0;2
4;11A01;1;3/5/2023;1A01;Smooth-billed Ani;Crotophaga ani;2;0;2
5;11A01;1;3/5/2023;1A01;White-chinned Swift;Cypseloides cryptus;2;0;2
6;11A01;1;3/5/2023;1A01;Common Pauraque;Nyctidromus albicollis;1;0;1
7;11A01;1;3/5/2023;1A01;Scrub Nightjar;Nyctidromus anthonyi;1;1;2
8;11A02;1;3/5/2023;1A02;Blue Ground Dove;Claravis pretiosa;1;1;2
9;11A03;1;3/5/2023;1A03;Purple-bibbed Whitetip;Urosticte benjamini;1;1;2
10;11A04;1;3/5/2023;1A04;Striped Cuckoo;Tapera naevia;2;1;3
11;11A04;1;3/5/2023;1A04;Little Cuckoo;Coccycua minuta;2;1;3
12;11A05;1;3/5/2023;1A05;Black Vulture;Coragyps atratus;1;1;2
13;11A05;1;3/5/2023;1A05;Groove-billed Ani;Crotophaga sulcirostris;2;0;2
14;11A05;1;3/5/2023;1A05;Crowned Woodnymph;Thalurania colombica;1;0;1
15;11A05;1;3/5/2023;1A05;Common Pauraque;Nyctidromus albicollis;1;1;2
16;11A05;1;3/5/2023;1A05;Hook-billed Kite;Chondrohierax uncinatus;3;1;4
17;11A05;1;3/5/2023;1A05;Smooth-billed Ani;Crotophaga ani;2;1;3
18;11A05;1;3/5/2023;1A05;Common Nighthawk;Chordeiles minor;2;1;3
19;11A05;1;3/5/2023;1A05;Oilbird;Steatornis caripensis;2;0;2
20;11A05;1;3/5/2023;1A05;Greater Ani;Crotophaga major;1;1;2
21;11A05;1;3/5/2023;1A05;White-necked Jacobin;Florisuga mellivora;2;1;3
22;11A05;1;3/5/2023;1A05;House Sparrow;Passer domesticus;2;0;2
23;11A06;1;3/5/2023;1A06;Hook-billed Kite;Chondrohierax uncinatus;1;0;1
24;11A06;1;3/5/2023;1A06;White-collared Swift;Streptoprocne zonaris;2;1;3
25;11A06;1;3/5/2023;1A06;Groove-billed Ani;Crotophaga sulcirostris;1;0;1
26;11A06;1;3/5/2023;1A06;House Sparrow;Passer domesticus;2;1;3
27;11A06;1;3/5/2023;1A06;Scrub Nightjar;Nyctidromus anthonyi;2;1;3
28;11A06;1;3/5/2023;1A06;Blue Ground Dove;Claravis pretiosa;2;1;3
29;11A07;1;3/5/2023;1A07;Crowned Woodnymph;Thalurania colombica;2;0;2
30;11A08;1;3/5/2023;1A08;Pearly-breasted Cuckoo;Coccyzus euleri;2;1;3
31;11A08;1;3/5/2023;1A08;White-necked Jacobin;Florisuga mellivora;2;0;2
32;11A09;1;3/5/2023;1A09;Common Nighthawk;Chordeiles minor;2;0;2
33;11A10;1;3/5/2023;1A10;Baudo Guan;Penelope ortoni;1;1;2
34;11A11;1;3/5/2023;1A11;Little Cuckoo;Coccycua minuta;2;1;3
35;11A12;1;3/5/2023;1A12;Squirrel Cuckoo;Piaya cayana;2;0;2
36;11A13;1;3/5/2023;1A13;Purple-bibbed Whitetip;Urosticte benjamini;1;0;1
37;11A14;1;3/5/2023;1A14;Crowned Woodnymph;Thalurania colombica;2;0;2
38;11A15;1;3/5/2023;1A15;Crowned Woodnymph;Thalurania colombica;2;1;3
39;11A16;1;3/5/2023;1A16;Gray-breasted Martin;Progne chalybea;1;0;1
40;11A16;1;3/5/2023;1A16;Squirrel Cuckoo;Piaya cayana;2;1;3
41;11A16;1;3/5/2023;1A16;Black Vulture;Coragyps atratus;2;1;3
42;11A16;1;3/5/2023;1A16;White-collared Swift;Streptoprocne zonaris;2;1;3
43;11A11;1;3/5/2023;1A11;Lesser Nighthawk;Chordeiles acutipennis;1;0;1
44;11A11;1;3/5/2023;1A11;Little Cuckoo;Coccycua minuta;1;1;2
45;11A12;1;3/5/2023;1A12;Squirrel Cuckoo;Piaya cayana;1;1;2
46;11A12;1;3/5/2023;1A12;White-collared Swift;Streptoprocne zonaris;2;0;2
47;11A12;1;3/5/2023;1A12;Black Vulture;Coragyps atratus;1;0;1
48;11A12;1;3/5/2023;1A12;Smooth-billed Ani;Crotophaga ani;0;1;1
49;11A12;1;3/5/2023;1A12;Striped Cuckoo;Tapera naevia;2;1;3
50;11A12;1;3/5/2023;1A12;Groove-billed Ani;Crotophaga sulcirostris;2;1;3
51;12A01;1;3/5/2023;2A01;Little Cuckoo;Coccycua minuta;2;0;2
52;12A01;1;3/5/2023;2A01;Dwarf Cuckoo;Coccycua pumila;1;0;1
53;12A01;1;3/5/2023;2A01;Crowned Woodnymph;Thalurania colombica;1;0;1
54;12A01;1;3/5/2023;2A01;Squirrel Cuckoo;Piaya cayana;2;0;2
55;12A01;1;3/5/2023;2A01;Yellow-rumped Cacique;Cacicus cela;1;1;2
56;12A01;1;3/5/2023;2A01;Crowned Woodnymph;Thalurania colombica;1;0;1
57;12A01;1;3/5/2023;2A01;Groove-billed Ani;Crotophaga sulcirostris;2;1;3
58;12A01;1;3/5/2023;2A01;Yellow-rumped Cacique;Cacicus cela;2;1;3
59;12A02;1;3/5/2023;2A02;Rufous-headed Chachalaca;Ortalis erythroptera;3;1;4
60;12A02;1;3/5/2023;2A02;Little Cuckoo;Coccycua minuta;1;0;1
61;12A02;1;3/5/2023;2A02;Banded Ground-Cuckoo;Neomorphus radiolosus;2;0;2
62;12A03;1;3/5/2023;2A03;White-collared Swift;Streptoprocne zonaris;2;1;3
63;12A03;1;3/5/2023;2A03;White-collared Swift;Streptoprocne zonaris;2;1;3
64;12A03;1;3/5/2023;2A03;House Sparrow;Passer domesticus;2;1;3
65;12A03;1;3/5/2023;2A03;Baudo Guan;Penelope ortoni;2;0;2
66;12A03;1;3/5/2023;2A03;Common Pauraque;Nyctidromus albicollis;2;0;2
67;12A03;1;3/5/2023;2A03;Lesser Nighthawk;Chordeiles acutipennis;1;0;1
68;21A01;2;10/5/2023;1A01;Yellow-rumped Cacique;Cacicus cela;1;0;1
69;21A01;2;10/5/2023;1A01;Common Nighthawk;Chordeiles minor;1;1;2
70;21A01;2;10/5/2023;1A01;Lesser Nighthawk;Chordeiles acutipennis;2;1;3
71;21A01;2;10/5/2023;1A01;Groove-billed Ani;Crotophaga sulcirostris;2;0;2
72;21A01;2;10/5/2023;1A01;Chimney Swift;Chaetura pelagica;1;1;2
73;21A01;2;10/5/2023;1A01;Scrub Nightjar;Nyctidromus anthonyi;1;1;2
74;21A01;2;10/5/2023;1A01;Chimney Swift;Chaetura pelagica;2;0;2
75;21A01;2;10/5/2023;1A01;Chimney Swift;Chaetura pelagica;1;1;2
76;21A02;2;10/5/2023;1A02;Hook-billed Kite;Chondrohierax uncinatus;2;0;2
77;21A03;2;10/5/2023;1A03;Lesser Nighthawk;Chordeiles acutipennis;2;0;2
78;21A04;2;10/5/2023;1A04;Chimney Swift;Chaetura pelagica;2;0;2
79;21A05;2;10/5/2023;1A05;Baudo Guan;Penelope ortoni;1;1;2
80;21A06;2;10/5/2023;1A06;Pearly-breasted Cuckoo;Coccyzus euleri;1;1;2
81;21A06;2;10/5/2023;1A06;Groove-billed Ani;Crotophaga sulcirostris;2;1;3
82;21A06;2;10/5/2023;1A06;Purple-bibbed Whitetip;Urosticte benjamini;2;1;3
83;21A06;2;10/5/2023;1A06;Pale-vented Pigeon;Patagioenas cayennensis;2;1;3
84;21A06;2;10/5/2023;1A06;Little Cuckoo;Coccycua minuta;2;1;3
